character,variant,bone,axis,sign,angle_deg,volume,sx,sy,sz,volume_ratio,max_axis_ratio,max_vertex_disp,p50_disp,p95_disp,p99_disp,nan_count,inf_count,extreme_vertex_count,verdict
jaguarete,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,0,3370338.765174,186.7794,104.2183,173.1413,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,0,3370338.765174,186.7794,104.2183,173.1413,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,0,3370338.765174,186.7794,104.2183,173.1413,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
jaguarete,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,10,3010869.035206,166.8581,104.2183,173.1413,0.8933,0.927,0.24897,0.0,0.21191,0.23605,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,10,3010869.035206,166.8581,104.2183,173.1413,0.8933,0.927,0.24897,0.0,0.21195,0.23605,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,10,3010869.035206,166.8581,104.2183,173.1413,0.8933,0.927,0.24897,0.0,0.21191,0.23605,0,0,0,HEALTHY
jaguarete,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,20,2624883.108113,145.4673,104.2183,173.1413,0.7788,0.927,0.49605,0.0,0.42221,0.47031,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,20,2624883.108113,145.4673,104.2183,173.1413,0.7788,0.927,0.49605,0.0,0.42228,0.47031,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,20,2624883.108113,145.4673,104.2183,173.1413,0.7788,0.927,0.49605,0.0,0.42221,0.47031,0,0,0,HEALTHY
jaguarete,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,30,2333321.613809,129.3094,104.2183,173.1413,0.6923,0.927,0.73936,0.0,0.6293,0.70098,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,30,2333321.613809,129.3094,104.2183,173.1413,0.6923,0.927,0.73936,0.0,0.6294,0.70098,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,30,2333321.613809,129.3094,104.2183,173.1413,0.6923,0.927,0.73936,0.0,0.6293,0.70098,0,0,0,HEALTHY
jaguarete,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,45,2333321.613809,129.3094,104.2183,173.1413,0.6923,0.927,1.09319,0.0,0.93046,1.03646,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,45,2333321.613809,129.3094,104.2183,173.1413,0.6923,0.927,1.09319,0.0,0.93062,1.03646,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,45,2333321.613809,129.3094,104.2183,173.1413,0.6923,0.927,1.09319,0.0,0.93046,1.03646,0,0,0,HEALTHY
jaguarete,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,60,2670691.840656,129.3094,119.287,173.1413,0.7924,0.927,1.42833,0.0,1.2157,1.3542,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,60,2670602.078438,129.3094,119.283,173.1413,0.7924,0.927,1.42833,0.0,1.21591,1.3542,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,60,2670691.840656,129.3094,119.287,173.1413,0.7924,0.927,1.42833,0.0,1.2157,1.3542,0,0,0,HEALTHY
jaguarete,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,75,3208849.301399,129.3094,143.3239,173.1413,0.9521,0.927,1.73902,0.0,1.48015,1.64877,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,75,3214373.051331,129.3094,143.5706,173.1413,0.9537,0.927,1.73902,0.0,1.4804,1.64877,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,75,3208849.301399,129.3094,143.3239,173.1413,0.9521,0.927,1.73902,0.0,1.48015,1.64877,0,0,0,HEALTHY
jaguarete,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,0,3370338.765174,186.7794,104.2183,173.1413,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,0,3370338.765174,186.7794,104.2183,173.1413,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
jaguarete,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,0,3370338.765174,186.7794,104.2183,173.1413,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
jaguarete,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,10,3008817.498832,166.7444,104.2183,173.1413,0.8927,0.927,0.24901,0.0,0.21298,0.2376,0,0,0,HEALTHY
jaguarete,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,10,3008817.498832,166.7444,104.2183,173.1413,0.8927,0.927,0.24901,0.0,0.21301,0.2376,0,0,0,HEALTHY
