=== TERERE ActorCore Godot Tracks ===
LOAD_MODE=GLTFDocument
SKELETON=true bones=101
LIBRARIES=[&""]
ANIMATION=idle duration=3.667 tracks=67
  track type=1 path=Armature/Skeleton3D:CC_Base_Hip keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_Hip keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_L_Thigh keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_L_Calf keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_L_Foot keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_Thigh keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_Calf keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_Foot keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_ToeBase keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_Waist keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_Waist keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_Spine01 keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_Spine02 keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_NeckTwist01 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_Head keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_Head keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_FacialBone keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_JawRoot keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_Tongue01 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_Tongue02 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_Tongue03 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_Teeth02 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_Teeth01 keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_L_Clavicle keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Upperarm keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_L_Upperarm keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Forearm keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_L_Forearm keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_ForearmTwist01 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_ForearmTwist02 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_ElbowShareBone keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Hand keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_L_Hand keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Mid1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Mid2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Mid3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Index1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Index2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Index3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Ring1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Ring2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Ring3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Pinky1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Pinky2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Pinky3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Thumb2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_UpperarmTwist01 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_UpperarmTwist02 keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_Clavicle keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Upperarm keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_Upperarm keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Forearm keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_Forearm keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_ElbowShareBone keys=111
  track type=2 path=Armature/Skeleton3D:CC_Base_R_Hand keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Mid1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Mid2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Mid3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Ring1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Ring2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Ring3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Index1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Index3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Pinky1 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Pinky2 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_R_Pinky3 keys=111
  track type=1 path=Armature/Skeleton3D:CC_Base_L_Breast keys=111
BONE_TRACK_COUNT=67
