character,variant,bone,axis,sign,angle_deg,volume,sx,sy,sz,volume_ratio,max_axis_ratio,max_vertex_disp,p50_disp,p95_disp,p99_disp,nan_count,inf_count,extreme_vertex_count,verdict
terere,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,10,2167966.731364,172.4759,75.6011,166.2632,0.9086,0.9086,0.2015,0.0,0.03866,0.17992,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,10,2167966.731364,172.4759,75.6011,166.2632,0.9086,0.9086,0.2015,0.0,0.03866,0.17992,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,10,2167966.731364,172.4759,75.6011,166.2632,0.9086,0.9086,0.2015,0.0,0.03866,0.17992,0,0,0,HEALTHY
terere,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,20,1946028.585646,154.8193,75.6011,166.2632,0.8156,0.8758,0.40147,0.0,0.07702,0.35848,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,20,1946028.585646,154.8193,75.6011,166.2632,0.8156,0.8758,0.40147,0.0,0.07702,0.35848,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,20,1946028.585646,154.8193,75.6011,166.2632,0.8156,0.8758,0.40147,0.0,0.07702,0.35848,0,0,0,HEALTHY
terere,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,30,1817972.704689,144.6316,75.6011,166.2632,0.7619,0.8758,0.59838,0.0,0.1148,0.53431,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,30,1817972.704689,144.6316,75.6011,166.2632,0.7619,0.8758,0.59838,0.0,0.1148,0.53431,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,30,1817972.704689,144.6316,75.6011,166.2632,0.7619,0.8758,0.59838,0.0,0.1148,0.53431,0,0,0,HEALTHY
terere,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,45,1817386.042427,144.5849,75.6011,166.2632,0.7616,0.8758,0.88475,0.0,0.16974,0.79001,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,45,1817386.042427,144.5849,75.6011,166.2632,0.7616,0.8758,0.88475,0.0,0.16974,0.79001,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,45,1817386.042427,144.5849,75.6011,166.2632,0.7616,0.8758,0.88475,0.0,0.16974,0.79001,0,0,0,HEALTHY
terere,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,60,1942939.423128,144.5483,80.8444,166.2632,0.8143,0.8758,1.15599,0.0,0.22178,1.0322,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,60,1943540.378048,144.5483,80.8694,166.2632,0.8145,0.8758,1.15599,0.0,0.22178,1.0322,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,60,1942939.331449,144.5483,80.8444,166.2632,0.8143,0.8758,1.15599,0.0,0.22178,1.0322,0,0,0,HEALTHY
terere,original,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,75,2441687.600679,144.5243,101.6139,166.2632,1.0233,0.8758,1.40744,0.0,0.27002,1.25673,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,75,2441729.032625,144.5243,101.6157,166.2632,1.0233,0.8758,1.40744,0.0,0.27002,1.25673,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Upperarm,"0.0,0.0,1.0",-1.0,75,2441687.600679,144.5243,101.6139,166.2632,1.0233,0.8758,1.40744,0.0,0.27002,1.25673,0,0,0,HEALTHY
terere,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,10,2168497.820144,172.5182,75.6011,166.2632,0.9088,0.9088,0.20141,0.0,0.08327,0.17977,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,10,2168497.820144,172.5182,75.6011,166.2632,0.9088,0.9088,0.20141,0.0,0.08327,0.17977,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,10,2168497.820144,172.5182,75.6011,166.2632,0.9088,0.9088,0.20141,0.0,0.08327,0.17977,0,0,0,HEALTHY
terere,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,20,1945994.541493,154.8166,75.6011,166.2632,0.8155,0.8758,0.40129,0.0,0.16591,0.35817,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,20,1945994.541493,154.8166,75.6011,166.2632,0.8155,0.8758,0.40129,0.0,0.16591,0.35818,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,20,1945994.541493,154.8166,75.6011,166.2632,0.8155,0.8758,0.40129,0.0,0.16591,0.35817,0,0,0,HEALTHY
terere,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,30,1814077.430297,144.3217,75.6011,166.2632,0.7603,0.8758,0.59812,0.0,0.24729,0.53384,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,30,1814077.430297,144.3217,75.6011,166.2632,0.7603,0.8758,0.59812,0.0,0.24729,0.53386,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,30,1814077.430297,144.3217,75.6011,166.2632,0.7603,0.8758,0.59812,0.0,0.24729,0.53384,0,0,0,HEALTHY
terere,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,45,1814077.430297,144.3217,75.6011,166.2632,0.7603,0.8758,0.88436,0.0,0.36563,0.78932,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,45,1814077.430297,144.3217,75.6011,166.2632,0.7603,0.8758,0.88436,0.0,0.36563,0.78935,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,45,1814077.430297,144.3217,75.6011,166.2632,0.7603,0.8758,0.88436,0.0,0.36563,0.78932,0,0,0,HEALTHY
terere,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,60,1993769.319777,144.3217,83.0897,166.2632,0.8356,0.8758,1.15547,0.0,0.47772,1.0313,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,60,1995400.567402,144.3217,83.1577,166.2632,0.8362,0.8758,1.15547,0.0,0.47772,1.03133,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,60,1993769.319777,144.3217,83.0897,166.2632,0.8356,0.8758,1.15547,0.0,0.47772,1.0313,0,0,0,HEALTHY
terere,original,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,75,2483719.271701,144.3217,103.5082,166.2632,1.0409,0.8758,1.40681,0.0,0.58164,1.25563,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,75,2484601.212718,144.3217,103.545,166.2632,1.0413,0.8758,1.40681,0.0,0.58164,1.25567,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Upperarm,"0.0,0.0,1.0",1.0,75,2483719.271701,144.3217,103.5082,166.2632,1.0409,0.8758,1.40681,0.0,0.58164,1.25563,0,0,0,HEALTHY
terere,original,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,30,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,0.46449,0.0,0.0,0.42785,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,30,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,0.46449,0.0,0.0,0.42805,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,30,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,0.46449,0.0,0.0,0.42785,0,0,0,HEALTHY
terere,original,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,60,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,0.89732,0.0,0.0,0.82655,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,60,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,0.89732,0.0,0.0,0.82693,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,60,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,0.89732,0.0,0.0,0.82655,0,0,0,HEALTHY
terere,original,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,90,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,1.269,0.0,0.0,1.16891,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,90,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,1.269,0.0,0.0,1.16945,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,90,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,1.269,0.0,0.0,1.16891,0,0,0,HEALTHY
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,30,2942549.454742,234.0991,75.6011,166.2632,1.2332,1.2332,0.55773,0.0,0.0,0.48827,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,30,2942549.454742,234.0991,75.6011,166.2632,1.2332,1.2332,0.55773,0.0,0.0,0.48827,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,30,2942549.454742,234.0991,75.6011,166.2632,1.2332,1.2332,0.55773,0.0,0.0,0.48827,0,0,0,HEALTHY
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,60,4914706.942468,259.7848,113.7858,166.2632,2.0597,1.3685,1.07745,0.0,0.0,0.94327,0,0,0,STRESSED
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,60,4914706.942468,259.7848,113.7858,166.2632,2.0597,1.3685,1.07745,0.0,0.0,0.94327,0,0,0,STRESSED
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,60,4914706.942468,259.7848,113.7858,166.2632,2.0597,1.3685,1.07745,0.0,0.0,0.94327,0,0,0,STRESSED
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,90,7007309.504459,257.9979,163.3575,166.2632,2.9367,1.3591,1.52374,0.0,0.0,1.33399,0,0,0,BROKEN
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,90,7007309.504459,257.9979,163.3575,166.2632,2.9367,1.3591,1.52374,0.0,0.0,1.33399,0,0,0,BROKEN
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,90,7007310.158993,257.9979,163.3575,166.2632,2.9367,1.3591,1.52374,0.0,0.0,1.33399,0,0,0,BROKEN
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,15,2586195.693931,189.8331,75.6011,180.2028,1.0838,1.0,0.16409,0.0,0.0754,0.14228,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,15,2586195.693931,189.8331,75.6011,180.2028,1.0838,1.0,0.16409,0.0,0.0754,0.14228,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,15,2586195.693931,189.8331,75.6011,180.2028,1.0838,1.0,0.16409,0.0,0.0754,0.14228,0,0,0,HEALTHY
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,30,2791953.907498,189.8331,75.6011,194.5397,1.1701,1.0248,0.32538,0.0,0.14951,0.28212,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,30,2791953.907498,189.8331,75.6011,194.5397,1.1701,1.0248,0.32538,0.0,0.14951,0.28212,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,30,2791953.907498,189.8331,75.6011,194.5397,1.1701,1.0248,0.32538,0.0,0.14951,0.28212,0,0,0,HEALTHY
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,45,2974338.890283,189.8331,75.8871,206.467,1.2465,1.0876,0.4811,0.0,0.22106,0.41714,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,45,2974338.890283,189.8331,75.8871,206.467,1.2465,1.0876,0.4811,0.0,0.22106,0.41714,0,0,0,HEALTHY
