source_filename,folder_family,inferred_environment,inferred_piece_family,inferred_turn_type,inferred_elevation_type,inferred_special_type,notes
StadiumAirship.png,Stadium,Stadium,elevation,,,platform,platform
StadiumAirshipDiag.png,Stadium,Stadium,elevation,diag,,platform,platform
StadiumBump1.png,Stadium,Stadium,elevation,,,slope,slope
StadiumBump1InGround.png,Stadium,Stadium,elevation,,,slope,slope
StadiumBump1Slope.png,Stadium,Stadium,elevation,,slope,slope,slope
StadiumBump1Tilt.png,Stadium,Stadium,elevation,,tilt,slope,slope
StadiumCheckpointRing2x1H.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumCheckpointRing2x1V.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumCheckpointRingHRoad.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumCheckpointRingV.png,Stadium,Stadium,checkpoint,,,checkpoint,checkpoint
StadiumCircuitBase.png,Stadium,Stadium,border,,,,circuit
StadiumCircuitBorderCornerIn.png,Stadium,Stadium,curve,,,curve,curve circuit
StadiumCircuitBorderCornerOut.png,Stadium,Stadium,curve,,,curve,curve circuit
StadiumCircuitBorderDiagIn.png,Stadium,Stadium,border,diag,,border,border circuit
StadiumCircuitBorderDiagOut.png,Stadium,Stadium,border,diag,,border,border circuit
StadiumCircuitBorderGTCurve2In.png,Stadium,Stadium,curve,,,gtcurve,gtcurve circuit
StadiumCircuitBorderGTCurve2Out.png,Stadium,Stadium,curve,,,gtcurve,gtcurve circuit
StadiumCircuitBorderGTCurve3In.png,Stadium,Stadium,curve,,,gtcurve,gtcurve circuit
StadiumCircuitBorderGTCurve3Out.png,Stadium,Stadium,curve,,,gtcurve,gtcurve circuit
StadiumCircuitBorderGTCurve4In.png,Stadium,Stadium,curve,,,gtcurve,gtcurve circuit
StadiumCircuitBorderGTCurve4Out.png,Stadium,Stadium,curve,,,gtcurve,gtcurve circuit
StadiumCircuitBorderSlopeCornerInLeftBottom.png,Stadium,Stadium,curve,left,slope,curve,curve circuit
StadiumCircuitBorderSlopeCornerInLeftTop.png,Stadium,Stadium,curve,left,slope,curve,curve circuit
StadiumCircuitBorderSlopeCornerInRightBottom.png,Stadium,Stadium,curve,right,slope,curve,curve circuit
StadiumCircuitBorderSlopeCornerInRightTop.png,Stadium,Stadium,curve,right,slope,curve,curve circuit
StadiumCircuitBorderSlopeCornerOutLeftBottom.png,Stadium,Stadium,curve,left,slope,curve,curve circuit
StadiumCircuitBorderSlopeCornerOutLeftTop.png,Stadium,Stadium,curve,left,slope,curve,curve circuit
StadiumCircuitBorderSlopeCornerOutRightBottom.png,Stadium,Stadium,curve,right,slope,curve,curve circuit
StadiumCircuitBorderSlopeCornerOutRightTop.png,Stadium,Stadium,curve,right,slope,curve,curve circuit
StadiumCircuitBorderSlopeDiagInLeftBottom.png,Stadium,Stadium,elevation,left,slope,slope,slope circuit
StadiumCircuitBorderSlopeDiagInLeftTop.png,Stadium,Stadium,elevation,left,slope,slope,slope circuit
